Date,Max_Temperature_Forecast,Min_Temperature_Forecast,Avg_Temperature_Forecast
2025-12-01,1.8002651639710123,-2.922096989233941,-0.535863867073421
2025-12-02,1.6717554142758448,-3.0613394526284585,-0.6697363197521797
2025-12-03,1.7969589758513695,-3.034381471769625,-0.5935023344549881
2025-12-04,1.800721744589259,-2.81438383650058,-0.48146147135925155
2025-12-05,1.7541681346446083,-2.863968042122829,-0.5293642104629575
2025-12-06,1.9394368626253247,-2.900541901387067,-0.4548564870468912
2025-12-07,1.885337704486595,-2.9223026036330824,-0.49262758760662884
2025-12-08,1.8412144040682445,-2.8794224196626996,-0.49309977184103815
2025-12-09,1.8905414505442124,-2.8301477226956084,-0.44380931629901443
2025-12-10,2.1736870504809556,-2.637185926613832,-0.20564017462100814
2025-12-11,2.3117884508900826,-2.2779069570408357,0.04314842401873609
2025-12-12,2.372813027039115,-2.218518119474029,0.10343432533077923
2025-12-13,2.6363799442766247,-2.1792911724342026,0.2548801447153277
2025-12-14,2.629486767636516,-2.1604845179414545,0.2608607410551711
2025-12-15,2.60042422228258,-2.1134679985945,0.2698299701737188
2025-12-16,2.6324053227496496,-2.096782747751668,0.2939753845160302
2025-12-17,2.8663402176511745,-1.9725119038433294,0.47299858992929167
2025-12-18,2.924702476967946,-1.7164894112439728,0.6300794204442104
2025-12-19,2.8775603705370845,-1.7925057555070056,0.568357894671661
2025-12-20,3.007348644671298,-1.9175887978599335,0.5705300209393602
2025-12-21,2.844526414282054,-2.088001365236667,0.4037031371040758
2025-12-22,2.641406130999611,-2.2504612466607425,0.22067208542191796
2025-12-23,2.485682070024744,-2.4583136681905544,0.03846719052786707
2025-12-24,2.523092314907526,-2.5680292087578094,0.0020144941251416526
2025-12-25,2.3811629366776224,-2.5495511308169996,-0.060030481593254414
2025-12-26,2.135111141384744,-2.8606474111473608,-0.3389380819738985
2025-12-27,2.072486286820455,-3.212341854949726,-0.5464493222245697
2025-12-28,1.7286978553111574,-3.5950620494301653,-0.9100607711312936
2025-12-29,1.3607187934018672,-3.9500058938279397,-1.2718845316663776
2025-12-30,1.0604959977665303,-4.325452955542188,-1.610228769011231
2025-12-31,0.977505057979144,-4.573389986446063,-1.776054950937941
